,Name,Genre
0,The Beatles,Pop/Rock
1,The Rolling Stones,Pop/Rock
2,Bon Jovi,Pop/Rock
3,Aerosmith,Pop/Rock
4,Elvis Costello,Pop/Rock
5,Billy Idol,Pop/Rock
6,Green Day,Pop/Rock
7,Madness,Pop/Rock
8,The English Beat,Pop/Rock
9,Elton John,Pop/Rock
10,INXS,Pop/Rock
11,Orchestral Manoeuvres in the Dark,Pop/Rock
12,Primal Scream,Pop/Rock
13,Portishead,Pop/Rock
14,Depeche Mode,Pop/Rock
15,Suzanne Vega,Pop/Rock
16,SinÃ©ad O'Connor,Pop/Rock
17,Tori Amos,Pop/Rock
18,Peter Gabriel,Pop/Rock
19,The Specials,Pop/Rock
20,The Kinks,Pop/Rock
21,The Beach Boys,Pop/Rock
22,Sloan,Pop/Rock
23,Loverboy,Pop/Rock
24,Kate Bush,Pop/Rock
25,Quiet Riot,Pop/Rock
26,Hanoi Rocks,Pop/Rock
27,Christine McVie,Pop/Rock
28,Laura Nyro,Pop/Rock
29,Fleetwood Mac,Pop/Rock
30,BjÃ¶rk,Pop/Rock
31,Saint Etienne,Pop/Rock
32,Roxy Music,Pop/Rock
33,The Human League,Pop/Rock
34,Bee Gees,Pop/Rock
35,Jimmy Webb,Pop/Rock
36,Johnny Rivers,Pop/Rock
37,Neil Sedaka,Pop/Rock
38,The Shangri-Las,Pop/Rock
39,The Ronettes,Pop/Rock
40,Burt Bacharach,Pop/Rock
41,Jane Siberry,Pop/Rock
42,Elvis Presley,Pop/Rock
43,Death,Pop/Rock
44,Gloria Estefan,Pop/Rock
45,Bread,Pop/Rock
46,10cc,Pop/Rock
47,Bob Dylan,Pop/Rock
48,Chicago,Pop/Rock
49,Carly Simon,Pop/Rock
50,Carole King,Pop/Rock
51,Janis Ian,Pop/Rock
52,Melissa Manchester,Pop/Rock
53,Corrosion of Conformity,Pop/Rock
54,Linda Ronstadt,Pop/Rock
55,Phoebe Snow,Pop/Rock
56,Gov't Mule,Pop/Rock
57,Hot Tuna,Pop/Rock
58,Phish,Pop/Rock
59,Blues Traveler,Pop/Rock
60,Dave Matthews Band,Pop/Rock
61,James Taylor,Pop/Rock
62,Paul Simon,Pop/Rock
63,Ted Nugent,Pop/Rock
64,Them,Pop/Rock
65,Smashing Pumpkins,Pop/Rock
66,U2,Pop/Rock
67,Radiohead,Pop/Rock
68,Sunny Day Real Estate,Pop/Rock
69,Soundgarden,Pop/Rock
70,Alice in Chains,Pop/Rock
71,Lynyrd Skynyrd,Pop/Rock
72,Madonna,Pop/Rock
73,Saliva,Pop/Rock
74,Stone Temple Pilots,Pop/Rock
75,Creed,Pop/Rock
76,Everything But the Girl,Pop/Rock
77,Gary Numan,Pop/Rock
78,John Cale,Pop/Rock
79,Eels,Pop/Rock
80,Elliott Smith,Pop/Rock
81,Joni Mitchell,Pop/Rock
82,Jerry Cantrell,Pop/Rock
83,Van Halen,Pop/Rock
84,AC/DC,Pop/Rock
85,Foo Fighters,Pop/Rock
86,Screaming Trees,Pop/Rock
87,Pink Floyd,Pop/Rock
88,Nirvana,Pop/Rock
89,Sex Pistols,Pop/Rock
90,Ramones,Pop/Rock
91,Mudhoney,Pop/Rock
92,The Who,Pop/Rock
93,Black Sabbath,Pop/Rock
94,Green River,Pop/Rock
95,The Stooges,Pop/Rock
96,The Pogues,Pop/Rock
97,Neil Young,Pop/Rock
98,NRBQ,Pop/Rock
99,Cabaret Voltaire,Pop/Rock
100,John Prine,Pop/Rock
101,Gram Parsons,Pop/Rock
102,Led Zeppelin,Pop/Rock
103,The Clash,Pop/Rock
104,Morbid Angel,Pop/Rock
105,Foreigner,Pop/Rock
106,The Everly Brothers,Pop/Rock
107,Chuck Berry,Pop/Rock
108,Duane Eddy,Pop/Rock
109,Dion,Pop/Rock
110,Buddy Holly,Pop/Rock
111,Slayer,Pop/Rock
112,Captain Beefheart,Pop/Rock
113,Sparks,Pop/Rock
114,Patti Smith,Pop/Rock
115,Iron Maiden,Pop/Rock
116,Megadeth,Pop/Rock
117,Metallica,Pop/Rock
118,Anthrax,Pop/Rock
119,Hatebreed,Pop/Rock
120,At the Gates,Pop/Rock
121,Entombed,Pop/Rock
122,The Velvet Underground,Pop/Rock
123,The Free Design,Pop/Rock
124,Chrome,Pop/Rock
125,David Bowie,Pop/Rock
126,Morphine,Pop/Rock
127,Tom Waits,Pop/Rock
128,Kiss,Pop/Rock
129,Cheap Trick,Pop/Rock
130,Twisted Sister,Pop/Rock
131,Def Leppard,Pop/Rock
132,Gene Simmons,Pop/Rock
133,Grateful Dead,Pop/Rock
134,David Lee Roth,Pop/Rock
135,Saxon,Pop/Rock
136,Sammy Hagar,Pop/Rock
137,Scorpions,Pop/Rock
138,Ozzy Osbourne,Pop/Rock
139,MÃ¶tley CrÃ¼e,Pop/Rock
140,Guns N' Roses,Pop/Rock
141,Whitesnake,Pop/Rock
142,The Flying Burrito Brothers,Pop/Rock
143,Cocteau Twins,Pop/Rock
144,Serge Gainsbourg,Pop/Rock
145,FranÃ§oise Hardy,Pop/Rock
146,The Rockets,Pop/Rock
147,Yoko Ono,Pop/Rock
148,Brian Eno,Pop/Rock
149,Doug Sahm,Pop/Rock
150,Can,Pop/Rock
151,The Association,Pop/Rock
152,Silver Apples,Pop/Rock
153,China Crisis,Pop/Rock
154,France Gall,Pop/Rock
155,Brigitte Fontaine,Pop/Rock
156,Swans,Pop/Rock
157,Sonic Youth,Pop/Rock
158,Bob Seger,Pop/Rock
159,Pantera,Pop/Rock
160,Bad Religion,Pop/Rock
161,Mercury Rev,Pop/Rock
162,Ride,Pop/Rock
163,Rod Stewart,Pop/Rock
164,The Replacements,Pop/Rock
165,Small Faces,Pop/Rock
166,The Monkees,Pop/Rock
167,Guided by Voices,Pop/Rock
168,The Stone Roses,Pop/Rock
169,Blur,Pop/Rock
170,Mick Jagger,Pop/Rock
171,Leonard Cohen,Pop/Rock
172,Lou Reed,Pop/Rock
173,The United States of America,Pop/Rock
174,Ry Cooder,Pop/Rock
175,Blondie,Pop/Rock
176,The Righteous Brothers,Pop/Rock
177,The Partridge Family,Pop/Rock
178,Mr. Bungle,Pop/Rock
179,Rage Against the Machine,Pop/Rock
180,Santana,Pop/Rock
181,Joy Division,Pop/Rock
182,Robyn,Pop/Rock
183,Boston,Pop/Rock
184,Cream,Pop/Rock
185,The Yardbirds,Pop/Rock
186,Grand Funk Railroad,Pop/Rock
187,Wishbone Ash,Pop/Rock
188,R.E.M.,Pop/Rock
189,R. Stevie Moore,Pop/Rock
190,Frank Black,Pop/Rock
191,Let's Active,Pop/Rock
192,Mission of Burma,Pop/Rock
193,The Wedding Present,Pop/Rock
194,HÃ¼sker DÃ¼,Pop/Rock
195,The Undertones,Pop/Rock
196,X,Pop/Rock
197,Crazy Horse,Pop/Rock
198,The Moody Blues,Pop/Rock
199,Procol Harum,Pop/Rock
200,Genesis,Pop/Rock
201,Queen,Pop/Rock
202,Black Flag,Pop/Rock
203,The Clean,Pop/Rock
204,The Standells,Pop/Rock
205,Daniel Johnston,Pop/Rock
206,Sebadoh,Pop/Rock
207,Stereolab,Pop/Rock
208,Orange Juice,Pop/Rock
209,Aztec Camera,Pop/Rock
210,The Chills,Pop/Rock
211,Nick Drake,Pop/Rock
212,Manfred Mann,Pop/Rock
213,Yes,Pop/Rock
214,Todd Rundgren,Pop/Rock
215,Andy Kim,Pop/Rock
216,Herman's Hermits,Pop/Rock
217,The Zombies,Pop/Rock
218,Bad Brains,Pop/Rock
219,Uncle Tupelo,Pop/Rock
220,The Pretty Things,Pop/Rock
221,? & the Mysterians,Pop/Rock
222,The Troggs,Pop/Rock
223,Kid Rock,Pop/Rock
224,Korn,Pop/Rock
225,Throwing Muses,Pop/Rock
226,My Bloody Valentine,Pop/Rock
227,Dr. John,Pop/Rock
228,PJ Harvey,Pop/Rock
229,The Fall,Pop/Rock
230,Babes in Toyland,Pop/Rock
231,L7,Pop/Rock
232,Courtney Love,Pop/Rock
233,Chrissie Hynde,Pop/Rock
234,Delta 5,Pop/Rock
235,The Animals,Pop/Rock
236,Graham Nash,Pop/Rock
237,Dan Fogelberg,Pop/Rock
238,Don McLean,Pop/Rock
239,Rickie Lee Jones,Pop/Rock
240,Tom Petty,Pop/Rock
241,Bruce Cockburn,Pop/Rock
242,Daniel Lanois,Pop/Rock
243,Kreator,Pop/Rock
244,Bathory,Pop/Rock
245,Bolt Thrower,Pop/Rock
246,Bruce Springsteen,Pop/Rock
247,The Raincoats,Pop/Rock
248,Siouxsie and the Banshees,Pop/Rock
249,Falco,Pop/Rock
250,Badfinger,Pop/Rock
251,John Lennon,Pop/Rock
252,Kaleidoscope,Pop/Rock
253,The Turtles,Pop/Rock
254,XTC,Pop/Rock
255,Joe Jackson,Pop/Rock
256,Fishbone,Pop/Rock
257,Red Hot Chili Peppers,Pop/Rock
258,Neneh Cherry,Pop/Rock
259,Deftones,Pop/Rock
260,Pretenders,Pop/Rock
261,The Slits,Pop/Rock
262,X-Ray Spex,Pop/Rock
263,Bratmobile,Pop/Rock
264,Hole,Pop/Rock
265,Bikini Kill,Pop/Rock
266,The Go-Betweens,Pop/Rock
267,Gang of Four,Pop/Rock
268,Elastica,Pop/Rock
269,Van Dyke Parks,Pop/Rock
270,The Left Banke,Pop/Rock
271,Public Image Ltd.,Pop/Rock
272,The Police,Pop/Rock
273,311,Pop/Rock
274,Helmet,Pop/Rock
275,Fugazi,Pop/Rock
276,Andy Black,Pop/Rock
277,Joan Jett & the Blackhearts,Pop/Rock
278,Judas Priest,Pop/Rock
279,Jimi Hendrix,Pop/Rock
280,Thin Lizzy,Pop/Rock
281,Big Black,Pop/Rock
282,Jane's Addiction,Pop/Rock
283,Ric Ocasek,Pop/Rock
284,Beat Happening,Pop/Rock
285,Styx,Pop/Rock
286,The Birthday Party,Pop/Rock
287,Violent Femmes,Pop/Rock
288,Warren Zevon,Pop/Rock
289,Levon Helm,Pop/Rock
290,Ronnie Lane,Pop/Rock
291,Spandau Ballet,Pop/Rock
292,Boz Scaggs,Pop/Rock
293,Joe Cocker,Pop/Rock
294,The Fleetwoods,Pop/Rock
295,Pearl Jam,Pop/Rock
296,"Blood, Sweat & Tears",Pop/Rock
297,King Missile,Pop/Rock
298,Talking Heads,Pop/Rock
299,Primus,Pop/Rock
300,They Might Be Giants,Pop/Rock
301,ABC,Pop/Rock
302,Morrissey,Pop/Rock
303,The Smiths,Pop/Rock
304,T. Rex,Pop/Rock
305,Tears for Fears,Pop/Rock
306,Big Star,Pop/Rock
307,The Cars,Pop/Rock
308,Blue Ã–yster Cult,Pop/Rock
309,Electric Light Orchestra,Pop/Rock
310,The Cure,Pop/Rock
311,Jackson Browne,Pop/Rock
312,Johnny Thunders,Pop/Rock
313,Bonnie Raitt,Pop/Rock
314,Janis Joplin,Pop/Rock
315,Eric Clapton,Pop/Rock
316,7 Seconds,Pop/Rock
317,The Housemartins,Pop/Rock
318,Brewer & Shipley,Pop/Rock
319,The Band,Pop/Rock
320,Bad Company,Pop/Rock
321,The Doors,Pop/Rock
322,Dinosaur Jr.,Pop/Rock
323,Jonathan Richman,Pop/Rock
324,The Go-Go's,Pop/Rock
325,Dire Straits,Pop/Rock
326,The Durutti Column,Pop/Rock
327,Jawbreaker,Pop/Rock
328,Propagandhi,Pop/Rock
329,Faces,Pop/Rock
330,Suicide,Pop/Rock
331,Scott Walker,Pop/Rock
332,Jerry Lee Lewis,Pop/Rock
333,Ronnie Hawkins,Pop/Rock
334,The Byrds,Pop/Rock
335,Carl Perkins,Pop/Rock
336,Buffalo Springfield,Pop/Rock
337,Avail,Pop/Rock
338,The Offspring,Pop/Rock
339,Operation Ivy,Pop/Rock
340,The Bobby Fuller Four,Pop/Rock
341,Bo Diddley,Pop/Rock
342,Screeching Weasel,Pop/Rock
343,Smoking Popes,Pop/Rock
344,Social Distortion,Pop/Rock
345,The Damned,Pop/Rock
346,Everclear,Pop/Rock
347,Hot Water Music,Pop/Rock
348,Pegboy,Pop/Rock
349,Naked Raygun,Pop/Rock
350,Bobby Charles,Pop/Rock
351,Minor Threat,Pop/Rock
352,Negative Approach,Pop/Rock
353,Murphy's Law,Pop/Rock
354,Cro-Mags,Pop/Rock
355,Agnostic Front,Pop/Rock
356,Barry Manilow,Pop/Rock
357,Gorilla Biscuits,Pop/Rock
358,Billy Fury,Pop/Rock
359,Bauhaus,Pop/Rock
360,Sonny & Cher,Pop/Rock
361,Melissa Etheridge,Pop/Rock
362,DNA,Pop/Rock
363,Wire,Pop/Rock
364,Gloria Jones,Pop/Rock
365,Iggy Pop,Pop/Rock
366,Tracy Chapman,Pop/Rock
367,Lenny Kravitz,Pop/Rock
368,Throbbing Gristle,Pop/Rock
369,Dead Boys,Pop/Rock
370,Creedence Clearwater Revival,Pop/Rock
371,Jan & Dean,Pop/Rock
372,Stevie Ray Vaughan,Pop/Rock
373,Built to Spill,Pop/Rock
374,Dag Nasty,Pop/Rock
375,Down by Law,Pop/Rock
376,Pixies,Pop/Rock
377,Richard Hell,Pop/Rock
378,The Vandals,Pop/Rock
379,"Bonnie ""Prince"" Billy",Pop/Rock
380,Red House Painters,Pop/Rock
381,NOFX,Pop/Rock
382,Pennywise,Pop/Rock
383,Weezer,Pop/Rock
384,Big Brother & the Holding Company,Pop/Rock
385,Stevie Nicks,Pop/Rock
386,Alice Cooper,Pop/Rock
387,Lagwagon,Pop/Rock
388,Descendents,Pop/Rock
389,Less Than Jake,Pop/Rock
390,Barenaked Ladies,Pop/Rock
391,Billy Squier,Pop/Rock
392,Europe,Pop/Rock
393,MC5,Pop/Rock
394,Napalm Death,Pop/Rock
395,Obituary,Pop/Rock
396,Journey,Pop/Rock
397,Accept,Pop/Rock
398,Supergrass,Pop/Rock
399,Pulp,Pop/Rock
400,Oasis,Pop/Rock
401,Face to Face,Pop/Rock
402,In Flames,Pop/Rock
403,Meshuggah,Pop/Rock
404,Pat Benatar,Pop/Rock
405,Incubus,Pop/Rock
406,Soul Coughing,Pop/Rock
407,The Flaming Lips,Pop/Rock
408,Beck,Pop/Rock
409,Talk Talk,Pop/Rock
410,Jethro Tull,Pop/Rock
411,Pavement,Pop/Rock
412,The Only Ones,Pop/Rock
413,The Hollies,Pop/Rock
414,The Dave Clark Five,Pop/Rock
415,Roy Orbison,Pop/Rock
416,Dusty Springfield,Pop/Rock
417,The Cardigans,Pop/Rock
418,Beth Orton,Pop/Rock
419,Pablo Cruise,Pop/Rock
420,The Doobie Brothers,Pop/Rock
421,Deep Purple,Pop/Rock
422,Joe Satriani,Pop/Rock
423,Robin Trower,Pop/Rock
424,King Crimson,Pop/Rock
425,Frank Zappa,Pop/Rock
426,Pere Ubu,Pop/Rock
427,Swell Maps,Pop/Rock
428,The Chocolate Watchband,Pop/Rock
429,New York Dolls,Pop/Rock
430,Nico,Pop/Rock
431,Jeff Beck,Pop/Rock
432,Suzi Quatro,Pop/Rock
433,Jack Bruce,Pop/Rock
434,Robert Fripp,Pop/Rock
435,Tony Joe White,Pop/Rock
436,Los Lobos,Pop/Rock
437,Steve Howe,Pop/Rock
438,Jimmy Page,Pop/Rock
439,Eddie Van Halen,Pop/Rock
440,The Music Machine,Pop/Rock
441,Georgie Fame,Pop/Rock
442,Body Count,Pop/Rock
443,Eddie Cochran,Pop/Rock
444,The Charlatans,Pop/Rock
445,Little Richard,Pop/Rock
446,Ian Hunter,Pop/Rock
447,Peter Criss,Pop/Rock
448,Limp Bizkit,Pop/Rock
449,Jack Nitzsche,Pop/Rock
450,Eric Burdon,Pop/Rock
451,Dr. Feelgood,Pop/Rock
452,Van Morrison,Pop/Rock
453,Bryan Ferry,Pop/Rock
454,Leon Russell,Pop/Rock
455,Roger McGuinn,Pop/Rock
456,Eagles,Pop/Rock
457,Poco,Pop/Rock
458,Billy Bragg,Pop/Rock
459,Hothouse Flowers,Pop/Rock
460,The Waterboys,Pop/Rock
461,Orleans,Pop/Rock
462,Randy Newman,Pop/Rock
463,Slint,Pop/Rock
464,Soft Machine,Pop/Rock
465,Liquid Liquid,Pop/Rock
466,Tool,Pop/Rock
467,Robert Wyatt,Pop/Rock
468,The Fugs,Pop/Rock
469,The Kingsmen,Pop/Rock
470,Michael Bolton,Pop/Rock
471,Brian Hyland,Pop/Rock
472,David Axelrod,Pop/Rock
473,The Red Krayola,Pop/Rock
474,The Beau Brummels,Pop/Rock
475,Del Shannon,Pop/Rock
476,Ritchie Valens,Pop/Rock
477,Jefferson Airplane,Pop/Rock
478,David Cassidy,Pop/Rock
479,Peter Hammill,Pop/Rock
480,Ultravox,Pop/Rock
481,Lou Christie,Pop/Rock
482,Tim Buckley,Pop/Rock
483,Culture Club,Pop/Rock
484,John Fogerty,Pop/Rock
485,Kyuss,Pop/Rock
486,Killing Joke,Pop/Rock
487,The Jam,Pop/Rock
488,Flipper,Pop/Rock
489,Wipers,Pop/Rock
490,Visage,Pop/Rock
491,ABBA,Pop/Rock
492,System of a Down,Pop/Rock
493,RX Bandits,Pop/Rock
494,The All-American Rejects,Pop/Rock
495,"Crosby, Stills & Nash",Pop/Rock
496,New Order,Pop/Rock
497,Blancmange,Pop/Rock
498,Soft Cell,Pop/Rock
499,Be Bop Deluxe,Pop/Rock
500,George Michael,Pop/Rock
501,George Harrison,Pop/Rock
502,Richard Thompson,Pop/Rock
503,Ace,Pop/Rock
504,Brinsley Schwarz,Pop/Rock
505,Biohazard,Pop/Rock
506,Suicidal Tendencies,Pop/Rock
507,Godflesh,Pop/Rock
508,Flamin' Groovies,Pop/Rock
509,J.J. Cale,Pop/Rock
510,Miami Sound Machine,Pop/Rock
511,Spin Doctors,Pop/Rock
512,Counting Crows,Pop/Rock
513,Sepultura,Pop/Rock
514,Marilyn Manson,Pop/Rock
515,Danzig,Pop/Rock
516,Stealers Wheel,Pop/Rock
517,Joe Walsh,Pop/Rock
518,Mark Lanegan,Pop/Rock
519,Matthew Sweet,Pop/Rock
520,Nick Cave,Pop/Rock
521,The Lemonheads,Pop/Rock
522,The Church,Pop/Rock
523,Sleep,Pop/Rock
524,Blue Cheer,Pop/Rock
525,Saint Vitus,Pop/Rock
526,Melvins,Pop/Rock
527,Manowar,Pop/Rock
528,Candlemass,Pop/Rock
529,Witchfinder General,Pop/Rock
530,Paul Weller,Pop/Rock
531,Pentagram,Pop/Rock
532,Rainbow,Pop/Rock
533,Bob Mould,Pop/Rock
534,Dan Penn,Pop/Rock
535,Rollins Band,Pop/Rock
536,Nine Inch Nails,Pop/Rock
537,Dick Dale,Pop/Rock
538,David Gray,Pop/Rock
539,Nils Lofgren,Pop/Rock
540,James McMurtry,Pop/Rock
541,Ben Harper,Pop/Rock
542,Del Amitri,Pop/Rock
543,Link Wray,Pop/Rock
544,The Sonics,Pop/Rock
545,The Seeds,Pop/Rock
546,Stephen Stills,Pop/Rock
547,The Mamas & the Papas,Pop/Rock
548,Gene Vincent,Pop/Rock
549,Simon & Garfunkel,Pop/Rock
550,The Dictators,Pop/Rock
551,The Runaways,Pop/Rock
552,Montrose,Pop/Rock
553,MotÃ¶rhead,Pop/Rock
554,Mott the Hoople,Pop/Rock
555,Slade,Pop/Rock
556,Hootie & the Blowfish,Pop/Rock
557,Sweet,Pop/Rock
558,America,Pop/Rock
559,Gin Blossoms,Pop/Rock
560,Fairport Convention,Pop/Rock
561,Fiona Apple,Pop/Rock
562,Jane Birkin,Pop/Rock
563,Sam Phillips,Pop/Rock
564,Daryl Hall & John Oates,Pop/Rock
565,Sarah McLachlan,Pop/Rock
566,Galaxie 500,Pop/Rock
567,The Jesus and Mary Chain,Pop/Rock
568,The Boo Radleys,Pop/Rock
569,Belly,Pop/Rock
570,Wings,Pop/Rock
571,The House of Love,Pop/Rock
572,The Primitives,Pop/Rock
573,Pale Saints,Pop/Rock
574,Beulah,Pop/Rock
575,Crowded House,Pop/Rock
576,Squeeze,Pop/Rock
577,Sheena Easton,Pop/Rock
578,Jennifer Lopez,Pop/Rock
579,Ace of Base,Pop/Rock
580,Annie Lennox,Pop/Rock
581,Kylie Minogue,Pop/Rock
582,The Action,Pop/Rock
583,Craig Armstrong,Pop/Rock
584,The Plimsouls,Pop/Rock
585,The Soft Boys,Pop/Rock
586,Phil Collins,Pop/Rock
587,The Juliana Theory,Pop/Rock
588,Wham!,Pop/Rock
589,Pet Shop Boys,Pop/Rock
590,Giorgio Moroder,Pop/Rock
591,Divine,Pop/Rock
592,Steve Winwood,Pop/Rock
593,The Style Council,Pop/Rock
594,Gino Vannelli,Pop/Rock
595,Soulfly,Pop/Rock
596,Roky Erickson,Pop/Rock
597,Thompson Twins,Pop/Rock
598,Yaz,Pop/Rock
599,The Residents,Pop/Rock
600,Killswitch Engage,Pop/Rock
601,Vision of Disorder,Pop/Rock
602,The Associates,Pop/Rock
603,Duran Duran,Pop/Rock
604,Frankie Goes to Hollywood,Pop/Rock
605,Erasure,Pop/Rock
606,John Foxx,Pop/Rock
607,Japan,Pop/Rock
608,UFO,Pop/Rock
609,Jellyfish,Pop/Rock
610,Free,Pop/Rock
611,The Spencer Davis Group,Pop/Rock
612,Ace Frehley,Pop/Rock
613,Tommy James & the Shondells,Pop/Rock
614,The Guess Who,Pop/Rock
615,Gary Glitter,Pop/Rock
616,Barclay James Harvest,Pop/Rock
617,The La's,Pop/Rock
618,Tommy Roe,Pop/Rock
619,The Rubinoos,Pop/Rock
620,Venom,Pop/Rock
621,Traffic,Pop/Rock
622,Terry Reid,Pop/Rock
623,Tim Hardin,Pop/Rock
624,Frankie Miller,Pop/Rock
625,Pete Townshend,Pop/Rock
626,Joey Ramone,Pop/Rock
627,Roger Daltrey,Pop/Rock
628,Bono,Pop/Rock
629,Laid Back,Pop/Rock
630,Keith Richards,Pop/Rock
631,Alkaline Trio,Pop/Rock
632,MDC,Pop/Rock
633,Joe Strummer,Pop/Rock
634,Robert Plant,Pop/Rock
635,Meat Puppets,Pop/Rock
636,Yo La Tengo,Pop/Rock
637,World Party,Pop/Rock
638,Jim Morrison,Pop/Rock
639,Fear Factory,Pop/Rock
640,Life of Agony,Pop/Rock
641,Prong,Pop/Rock
642,Ministry,Pop/Rock
643,D.R.I.,Pop/Rock
644,Bob Weir,Pop/Rock
645,Faith No More,Pop/Rock
646,Kittie,Pop/Rock
647,Strung Out,Pop/Rock
648,Cap'n Jazz,Pop/Rock
649,Anti-Flag,Pop/Rock
650,The Big Bopper,Pop/Rock
651,Hurt,Pop/Rock
652,Alanis Morissette,Pop/Rock
653,Cornelius,Pop/Rock
654,Simple Minds,Pop/Rock
655,Slowdive,Pop/Rock
656,White Zombie,Pop/Rock
657,Minutemen,Pop/Rock
658,Lyle Lovett,Pop/Rock
659,Thomas Dolby,Pop/Rock
660,A Flock of Seagulls,Pop/Rock
661,Tom Tom Club,Pop/Rock
662,Gina X Performance,Pop/Rock
663,Alphaville,Pop/Rock
664,KMFDM,Pop/Rock
665,Sick of It All,Pop/Rock
666,Poison the Well,Pop/Rock
667,The Dillinger Escape Plan,Pop/Rock
668,Blind Melon,Pop/Rock
669,Lamb of God,Pop/Rock
670,Wanda Jackson,Pop/Rock
671,Freddie Mercury,Pop/Rock
672,Front 242,Pop/Rock
673,Skinny Puppy,Pop/Rock
674,Clan of Xymox,Pop/Rock
675,Gentle Giant,Pop/Rock
676,Cradle of Filth,Pop/Rock
677,Gong,Pop/Rock
678,Tom Verlaine,Pop/Rock
679,Camel,Pop/Rock
680,Split Enz,Pop/Rock
681,Cyndi Lauper,Pop/Rock
682,Joan Armatrading,Pop/Rock
683,Ten Years After,Pop/Rock
684,John Frusciante,Pop/Rock
685,Love,Pop/Rock
686,LCD Soundsystem,Pop/Rock
687,Richard & Linda Thompson,Pop/Rock
688,Crowbar,Pop/Rock
689,Argent,Pop/Rock
690,Humble Pie,Pop/Rock
691,Ian Dury,Pop/Rock
692,Sandie Shaw,Pop/Rock
693,The Allman Brothers Band,Pop/Rock
694,The Outlaws,Pop/Rock
695,Don Henley,Pop/Rock
696,Tab Hunter,Pop/Rock
697,The Connells,Pop/Rock
698,Renaissance,Pop/Rock
699,Marillion,Pop/Rock
700,"Emerson, Lake & Palmer",Pop/Rock
701,The Pastels,Pop/Rock
702,1910 Fruitgum Company,Pop/Rock
703,Moby Grape,Pop/Rock
704,Young Marble Giants,Pop/Rock
705,Wreckless Eric,Pop/Rock
706,Television Personalities,Pop/Rock
707,Sham 69,Pop/Rock
708,John Mellencamp,Pop/Rock
709,The Move,Pop/Rock
710,The Outsiders,Pop/Rock
711,The Nerves,Pop/Rock
712,The Buckinghams,Pop/Rock
713,"Dave Dee, Dozy, Beaky, Mick & Tich",Pop/Rock
714,Roy Harper,Pop/Rock
715,The Creation,Pop/Rock
