influencer_name,follower_name
Chantal Kreviazuk,Aly & AJ
Henry Mancini,Milton Nascimento
Arthur Lyman,Pink Martini
Henry Mancini,"Harry Connick, Jr."
Yma Sumac,Meredith Monk
Martin Denny,Eden Ahbez
Mason Williams,Mannheim Steamroller
Henry Mancini,Stereolab
Les Baxter,Pink Martini
Liberace,Ferrante & Teicher
Sergio Mendes,David Byrne
Les Baxter,JosÃ© Feliciano
Yma Sumac,Tim Buckley
Yma Sumac,Jon Hassell
Martin Denny,Steve Roach
Les Baxter,Jon Hassell
Henry Mancini,Julee Cruise
Yma Sumac,Yoko Ono
Les Baxter,Herb Alpert & the Tijuana Brass
Sergio Mendes,Stereolab
Mitch Miller,Phil Ramone
Les Baxter,Sergio Mendes
Les Baxter,Stereolab
Arthur Lyman,Stereolab
Nelson Riddle,Quincy Jones
Henry Mancini,Randy Newman
Martin Denny,Stereolab
Liberace,Barry Manilow
Martin Denny,Steven Halpern
Sergio Mendes,Carpenters
Percy Faith,Paul Mauriat
Herb Alpert,Carpenters
Nelson Riddle,Brian Setzer
Sergio Mendes,Chuck Mangione
Nelson Riddle,Shirley Bassey
Martin Denny,El Guincho
Herb Alpert,Chuck Mangione
Henry Mancini,Lalo Schifrin
Ray Conniff,Herb Alpert
Henry Mancini,John Barry
AndrÃ© Kostelanetz,Liberace
Henry Mancini,Danny Elfman
Les Baxter,Arthur Lyman
Percy Faith,Arthur Lyman
Henry Mancini,James Horner
Yma Sumac,Arthur Lyman
Henry Mancini,Gilberto Gil
Liberace,Elton John
Liberace,Arthur Lyman
Liberace,Queen
Henry Mancini,Howard Shore
Nelson Riddle,George Martin
Jackie Gleason,Wayne Newton
Henry Mancini,Pink Martini
Henry Mancini,Burt Bacharach
Herb Alpert,Chris Montez
Herb Alpert,Squirrel Nut Zippers
Bert Kaempfert,Liberace
Mitch Miller,Liberace
Henry Mancini,The Lounge Lizards
Henry Mancini,John Williams
Martin Denny,Herb Alpert
Herb Alpert,Chris Botti
Martin Denny,Gheorghe Zamfir
Henry Mancini,Duane Eddy
Nelson Riddle,Burt Bacharach
Henry Mancini,Luiz BonfÃ¡
Henry Mancini,JoÃ£o Donato
Arthur Lyman,Martin Denny
Herb Alpert,David Sanborn
Henry Mancini,Dave Grusin
Les Baxter,Martin Denny
Sergio Mendes,The Lightning Seeds
Liberace,Freddie Mercury
Percy Faith,Burt Bacharach
Liberace,Herb Alpert